support,pattern
14,"[69, 26, 8]"
17,"[69, 26, 27]"
19,"[69, 26, 17]"
20,"[69, 26, 0]"
20,"[69, 26, 29]"
21,"[69, 26, 6]"
16,"[69, 26, 10]"
24,"[69, 26, 70]"
17,"[69, 26, 69]"
13,"[69, 26, 56]"
13,"[69, 26, 62]"
16,"[69, 26, 25]"
20,"[69, 26, 48]"
17,"[69, 26, 28]"
12,"[69, 26, 49]"
14,"[69, 26, 55]"
15,"[69, 26, 37]"
17,"[69, 26, 4]"
16,"[69, 26, 54]"
14,"[69, 26, 33]"
12,"[69, 26, 34]"
24,"[69, 50]"
13,"[69, 50, 60]"
15,"[69, 50, 32]"
14,"[69, 50, 18]"
14,"[69, 50, 8]"
16,"[69, 50, 27]"
19,"[69, 50, 17]"
18,"[69, 50, 0]"
20,"[69, 50, 29]"
19,"[69, 50, 6]"
15,"[69, 50, 10]"
24,"[69, 50, 70]"
18,"[69, 50, 69]"
13,"[69, 50, 56]"
14,"[69, 50, 62]"
14,"[69, 50, 25]"
20,"[69, 50, 48]"
17,"[69, 50, 28]"
15,"[69, 50, 49]"
15,"[69, 50, 55]"
15,"[69, 50, 37]"
16,"[69, 50, 4]"
17,"[69, 50, 54]"
14,"[69, 50, 33]"
12,"[69, 50, 34]"
26,"[69, 60]"
17,"[69, 60, 32]"
15,"[69, 60, 18]"
16,"[69, 60, 8]"
18,"[69, 60, 27]"
22,"[69, 60, 17]"
20,"[69, 60, 0]"
21,"[69, 60, 29]"
23,"[69, 60, 6]"
15,"[69, 60, 10]"
26,"[69, 60, 70]"
16,"[69, 60, 69]"
12,"[69, 60, 12]"
14,"[69, 60, 56]"
13,"[69, 60, 62]"
17,"[69, 60, 25]"
22,"[69, 60, 48]"
20,"[69, 60, 28]"
13,"[69, 60, 35]"
12,"[69, 60, 58]"
14,"[69, 60, 49]"
17,"[69, 60, 55]"
18,"[69, 60, 4]"
18,"[69, 60, 54]"
16,"[69, 60, 26]"
16,"[69, 60, 50]"
13,"[69, 60, 20]"
14,"[69, 60, 33]"
13,"[69, 60, 34]"
14,"[69, 36]"
12,"[69, 36, 27]"
12,"[69, 36, 17]"
12,"[69, 36, 0]"
13,"[69, 36, 29]"
13,"[69, 36, 6]"
14,"[69, 36, 70]"
13,"[69, 36, 62]"
13,"[69, 36, 28]"
12,"[69, 36, 49]"
14,"[69, 64]"
12,"[69, 64, 18]"
12,"[69, 64, 8]"
14,"[69, 64, 64]"
12,"[69, 64, 17]"
13,"[69, 64, 0]"
13,"[69, 64, 29]"
12,"[69, 64, 6]"
13,"[69, 64, 10]"
14,"[69, 64, 70]"
