support,pattern
49,"[69, 32, 8]"
49,"[69, 32, 27]"
51,"[69, 32, 17]"
49,"[69, 32, 29]"
48,"[69, 32, 69]"
49,"[69, 32, 48]"
16,"[69, 32, 21]"
51,"[69, 32, 0]"
38,"[69, 32, 49]"
43,"[69, 32, 10]"
41,"[69, 32, 56]"
22,"[69, 32, 11]"
23,"[69, 32, 57]"
45,"[69, 32, 35]"
42,"[69, 32, 58]"
23,"[69, 32, 59]"
23,"[69, 32, 1]"
25,"[69, 32, 60]"
38,"[69, 32, 4]"
40,"[69, 32, 3]"
47,"[69, 32, 6]"
32,"[69, 32, 7]"
43,"[69, 32, 34]"
45,"[69, 32, 33]"
46,"[69, 32, 28]"
48,"[69, 32, 25]"
30,"[69, 32, 13]"
30,"[69, 32, 53]"
29,"[69, 32, 31]"
17,"[69, 32, 5]"
34,"[69, 32, 42]"
29,"[69, 32, 12]"
34,"[69, 32, 51]"
18,"[69, 32, 36]"
25,"[69, 32, 14]"
28,"[69, 32, 9]"
19,"[69, 32, 43]"
18,"[69, 32, 65]"
22,"[69, 32, 63]"
48,"[69, 18]"
47,"[69, 18, 70]"
33,"[69, 18, 55]"
44,"[69, 18, 54]"
38,"[69, 18, 20]"
32,"[69, 18, 37]"
29,"[69, 18, 26]"
25,"[69, 18, 50]"
30,"[69, 18, 32]"
24,"[69, 18, 18]"
47,"[69, 18, 8]"
47,"[69, 18, 27]"
47,"[69, 18, 17]"
46,"[69, 18, 29]"
43,"[69, 18, 69]"
46,"[69, 18, 48]"
16,"[69, 18, 21]"
46,"[69, 18, 0]"
36,"[69, 18, 49]"
41,"[69, 18, 10]"
40,"[69, 18, 56]"
22,"[69, 18, 11]"
24,"[69, 18, 57]"
40,"[69, 18, 35]"
37,"[69, 18, 58]"
22,"[69, 18, 59]"
22,"[69, 18, 1]"
21,"[69, 18, 60]"
37,"[69, 18, 4]"
38,"[69, 18, 3]"
45,"[69, 18, 6]"
31,"[69, 18, 7]"
40,"[69, 18, 34]"
41,"[69, 18, 33]"
43,"[69, 18, 28]"
45,"[69, 18, 25]"
26,"[69, 18, 13]"
26,"[69, 18, 53]"
27,"[69, 18, 31]"
16,"[69, 18, 5]"
31,"[69, 18, 42]"
26,"[69, 18, 12]"
29,"[69, 18, 51]"
21,"[69, 18, 14]"
29,"[69, 18, 9]"
